run_id,seed,method,pa,tids,mttf,accuracy,energy,cmvi,nfg,nbr,nam,false_good_evictions,bad_nodes_retained,audit_mismatch_events,audit_count,audit_update_count,collective_update_count
57,99,Q-TCID,1.0,350,9800.0,0.9769230769230769,761.288127599284,26.0,24,0,2,24,0,2,2,0,0
58,100,Q-TCID,1.0,350,16100.0,0.9867938371239912,1188.7609075587243,21.0,17,1,3,17,1,3,3,0,0
59,101,Q-TCID,1.0,350,9800.0,0.978494623655914,713.8658915869892,23.0,21,1,1,21,1,1,1,0,0
60,102,Q-TCID,1.0,350,12250.0,0.9830899308224442,866.4004930332303,22.0,21,1,0,21,1,0,0,0,0
61,103,Q-TCID,1.0,350,12950.0,0.9779735682819384,866.7566049452871,26.0,24,1,1,24,1,1,1,0,0
62,104,Q-TCID,1.0,350,9800.0,0.9786821705426356,809.8776193186641,26.0,21,1,4,21,1,4,4,0,0
63,105,Q-TCID,1.0,350,9450.0,0.9815303430079155,750.7828262522817,23.0,21,0,2,21,0,2,2,0,0
64,106,Q-TCID,1.0,350,12950.0,0.9786507258753202,939.3242986071855,25.0,24,1,0,24,1,0,0,0,0
65,107,Q-TCID,1.0,350,11900.0,0.9843205574912892,930.8765327427536,20.0,18,0,2,18,0,2,2,0,0
66,108,Q-TCID,1.0,350,9450.0,0.9748743718592965,764.9085986800492,29.0,25,0,4,25,0,4,4,0,0
67,109,Q-TCID,1.0,350,11550.0,0.9808612440191388,851.2063848730177,22.0,17,3,2,17,3,2,2,0,0
68,110,Q-TCID,1.0,350,16100.0,0.9699170124481328,716.4180269408971,30.0,27,2,1,27,2,1,1,0,0
69,111,Q-TCID,1.0,350,10850.0,0.9816207184628237,882.7025049161166,23.0,22,0,1,22,0,1,1,0,0
70,112,Q-TCID,1.0,350,14350.0,0.9821276595744681,904.9001473095268,21.0,20,1,0,20,1,0,0,0,0
71,113,Q-TCID,1.0,350,11200.0,0.9775739041794088,880.3284255079925,30.0,21,1,8,21,1,8,8,0,0
72,114,Q-TCID,1.0,350,14000.0,0.9817490494296578,1019.4099103715271,25.0,23,1,1,23,1,1,1,0,0
73,115,Q-TCID,1.0,350,13650.0,0.9755381604696673,835.1615649219602,28.0,23,2,3,23,2,3,3,0,0
74,116,Q-TCID,1.0,350,15750.0,0.987411487018096,919.4611676242203,17.0,16,0,1,16,0,1,1,0,0
75,117,Q-TCID,1.0,350,8750.0,0.9826325411334552,765.047086648643,22.0,19,0,3,19,0,3,3,0,0
76,118,Q-TCID,1.0,350,9800.0,0.9731610337972167,760.1406558901072,30.0,24,3,3,24,3,3,3,0,0
77,119,Q-TCID,1.0,350,12600.0,0.9792418772563177,842.0859631802887,24.0,22,1,1,22,1,1,1,0,0
78,120,Q-TCID,1.0,350,10150.0,0.9762376237623762,735.8459100313485,26.0,23,1,2,23,1,2,2,0,0
79,121,Q-TCID,1.0,350,7350.0,0.9724680432645034,676.8698209375143,29.0,25,3,1,25,3,1,1,0,0
0,42,TA-QTCID,1.0,350,8400.0,0.9840823970037453,720.1572019942105,17.0,17,0,0,17,0,0,0,0,1068
1,43,TA-QTCID,1.0,350,12600.0,0.9879129734085415,984.0559113081545,15.0,15,0,0,15,0,0,0,0,1241
2,44,TA-QTCID,1.0,350,10850.0,0.9886264216972879,863.0174298882484,13.0,13,0,0,13,0,0,0,0,1143
